member_name,member_start_date,member_end_date,political_party,administrative_region
οθωνας οθωνα εμμανουηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης
οθωνας οθωνα εμμανουηλ,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,ρεθυμνης
οικονομοπουλος παναγιωτη τασος,2023-06-25,2023-11-13,δημοκρατικο πατριωτικο κινημα νικη,α' ανατολικης αττικης
οικονομου αθανασιου βασιλειος,2000-04-09,2000-12-13,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2012-03-26,2012-04-11,δημοκρατικη αριστερα,αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2010-05-06,2012-03-25,ανεξαρτητοι (εκτος κομματος),αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2009-10-04,2010-05-05,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
οικονομου αθανασιου βασιλειος,2012-05-06,2012-05-19,δημοκρατικη αριστερα,αττικης
οικονομου αθανασιου βασιλειος,2014-06-06,2014-12-31,ανεξαρτητοι (εκτος κομματος),αττικης
οικονομου αθανασιου βασιλειος,2012-06-17,2014-06-05,δημοκρατικη αριστερα,αττικης
οικονομου αθανασιου βασιλειος,2015-01-25,2015-08-28,νεα δημοκρατια,επικρατειας
οικονομου αθανασιου βασιλειος,2015-09-20,2019-06-11,νεα δημοκρατια,επικρατειας
οικονομου αθανασιου βασιλειος,2019-07-07,2023-04-22,νεα δημοκρατια,α' ανατολικης αττικης
οικονομου αθανασιου βασιλειος,2023-05-21,2023-05-29,νεα δημοκρατια,α' ανατολικης αττικης
οικονομου αθανασιου βασιλειος,2023-06-25,2023-11-13,νεα δημοκρατια,α' ανατολικης αττικης
οικονομου γεωργιου θωμαις (τζινα),2023-05-21,2023-05-29,νεα δημοκρατια,ευρυτανιας
οικονομου γεωργιου θωμαις (τζινα),2023-06-25,2023-11-13,νεα δημοκρατια,ευρυτανιας
οικονομου δημητριου ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,φθιωτιδας
οικονομου δημητριου ιωαννης,2023-06-25,2023-11-13,νεα δημοκρατια,φθιωτιδας
οικονομου σπυριδωνα παντελης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
οικονομου σπυριδωνα παντελης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
οικονομου σωκρατη αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
οικονομου χρηστου γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,τρικαλων
οικονομου χρηστου γεωργιος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,τρικαλων
ορφανος δημητριου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου γεωργιος,2012-05-06,2012-05-19,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου γεωργιος,2012-06-17,2014-12-31,νεα δημοκρατια,α' θεσσαλονικης
ορφανος δημητριου νικολαος,2015-01-25,2015-08-28,το ποταμι,β' πειραιως
ουζουνιδης δημητριου μαρινος,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,εβρου
ουζουνιδου χρηστου ευγενια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κοζανης
ουζουνιδου χρηστου ευγενια,2015-08-21,2015-08-28,λαικη ενοτητα,κοζανης
ουζουνιδου χρηστου ευγενια,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,κοζανης
αποστολατος σπυριδωνα βαιτσης,2007-09-16,2009-09-07,λαικος ορθοδοξος συναγερμος,α' πειραιως
αποστολατος σπυριδωνα βαιτσης,2009-10-04,2012-04-11,λαικος ορθοδοξος συναγερμος,α' πειραιως
ουρσουζιδης νικολαου γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας
ουρσουζιδης νικολαου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας
παγκαλος γεωργιου θεοδωρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παγκαλος γεωργιου θεοδωρος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο)
παλαιοκρασσας δημητριου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,κυκλαδων
παλαιοκρασσας δημητριου ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,κυκλαδων
παλαιοκρασσας δημητριου ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,κυκλαδων
παλαιοκρασσας δημητριου ιωαννης,2004-03-07,2004-03-26,νεα δημοκρατια,κυκλαδων
παλλης ευστρατιου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,λεσβου
παναγιωταρος κωνσταντινου ηλιας,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,β' αθηνων
παναγιωταρος κωνσταντινου ηλιας,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,β' αθηνων
παναγιωταρος κωνσταντινου ηλιας,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,β' αθηνων
παναγιωταρος κωνσταντινου ηλιας,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,β' αθηνων
παναγιωτιδης παυλου χαραλαμπος,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,α' θεσσαλονικης
παναγιωτοπουλος αντωνιου ανδρεας,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας
παναγιωτοπουλος αντωνιου ανδρεας,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας
παναγιωτοπουλος ιωαννη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2009-10-04,2012-04-11,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2015-01-25,2015-08-28,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2015-09-20,2019-06-11,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2023-05-21,2023-05-29,νεα δημοκρατια,καβαλας
παναγιωτοπουλος ιωαννη νικολαος,2023-06-25,2023-11-13,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,καβαλας
παναγιωτοπουλος νικολαου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,καβαλας
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2019-05-06,2019-06-11,νεα δημοκρατια,β' αθηνων
αποστολιδης θωμα λουκας,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
αποστολιδης θωμα λουκας,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
αποστολιδης θωμα λουκας,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
αποστολιδης θωμα λουκας,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
αποστολιδης θωμα λουκας,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας
παναγουλης βασιλειου ευσταθιος (σταθης),1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων
παναγουλης βασιλειου ευσταθιος (σταθης),2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παναγουλης βασιλειου ευσταθιος (σταθης),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παναγουλης βασιλειου ευσταθιος (σταθης),2015-11-19,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων
παναγουλης βασιλειου ευσταθιος (σταθης),2015-09-20,2015-11-18,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παναριτη ιωαννου ελενη (ελενα),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
πανας νικολαου αποστολος,2019-07-07,2023-04-22,κινημα αλλαγης,χαλκιδικης
πανας νικολαου αποστολος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,χαλκιδικης
πανας νικολαου αποστολος,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,χαλκιδικης
πανουργιας στυλιανου πανουργιας,1989-01-01,1989-06-02,νεα δημοκρατια,φθιωτιδας
πανουσης αποστολου ιωαννης,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' αθηνων
πανουσης αποστολου ιωαννης,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' αθηνων
παντελακη αντωνιου ελπιδα,2004-03-07,2007-08-18,κομμουνιστικο κομμα ελλαδας,α' πειραιως
παντελακη αντωνιου ελπιδα,2007-09-16,2008-05-23,κομμουνιστικο κομμα ελλαδας,α' πειραιως
παντελακη αντωνιου ελπιδα,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,α' πειραιως
παντζας σπυριδωνος-αριστοτελη γεωργιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αττικης
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αττικης
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αττικης
αποστολου δημητριου ευαγγελος,1996-09-22,2000-03-14,συνασπισμος της αριστερας των κινηματων και της οικολογιας,ευβοιας
αποστολου δημητριου ευαγγελος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας
αποστολου δημητριου ευαγγελος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας
αποστολου δημητριου ευαγγελος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας
αποστολου δημητριου ευαγγελος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας
αποστολου δημητριου ευαγγελος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας
παντουλας χρηστου μιχαηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
παντουλας χρηστου μιχαηλ,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
παντουλας χρηστου μιχαηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων
παπαγεωργιου ανδρεα αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,πιεριας
παπαγεωργιου ανδρεα αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,πιεριας
παπαγεωργιου δημητριου σωτηριος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,καρδιτσας
παπαγεωργιου ιωαννη γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,αρτας
παπαγεωργιου ιωαννη γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,αρτας
παπαγεωργιου ιωαννη γεωργιος,1990-04-08,1993-09-11,νεα δημοκρατια,αρτας
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,αρτας
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,αρτας
παπαγεωργιου ιωαννη γεωργιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ευβοιας
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ευβοιας
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,1989-06-18,1989-10-12,νεα δημοκρατια,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,1989-11-05,1990-03-12,νεα δημοκρατια,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,1990-04-08,1993-09-11,νεα δημοκρατια,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,1993-10-10,1996-08-24,νεα δημοκρατια,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,1996-09-22,2000-03-14,νεα δημοκρατια,ευβοιας
παπαγεωργοπουλος νικολαου ελευθεριος,2000-04-09,2004-02-11,νεα δημοκρατια,ευβοιας
παπαγιαννακης ελευθεριου μιχαηλ,2007-09-16,2009-05-26,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παπαγιαννης κανελλου μιχαηλ,1989-01-01,1989-06-02,νεα δημοκρατια,αττικης(υπολοιπο)
παπαγιαννης κανελλου μιχαηλ,1989-11-05,1990-03-12,νεα δημοκρατια,αττικης(υπολοιπο)
αραμπατζη αθανασιου φωτεινη,2012-05-06,2012-05-19,νεα δημοκρατια,σερρων
αραμπατζη αθανασιου φωτεινη,2012-06-17,2014-12-31,νεα δημοκρατια,σερρων
αραμπατζη αθανασιου φωτεινη,2015-01-25,2015-08-28,νεα δημοκρατια,σερρων
αραμπατζη αθανασιου φωτεινη,2015-09-20,2019-06-11,νεα δημοκρατια,σερρων
αραμπατζη αθανασιου φωτεινη,2019-07-07,2023-04-22,νεα δημοκρατια,σερρων
αραμπατζη αθανασιου φωτεινη,2023-06-25,2023-11-13,νεα δημοκρατια,σερρων
παπαδακης χρηστου παρασχος,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,εβρου
παπαδακης χρηστου παρασχος,2023-06-25,2023-11-13,ελληνικη λυση - κυριακος βελοπουλος,εβρου
παπαδελλης γεωργιου φραγκλινος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,λεσβου
παπαδελλης γεωργιου φραγκλινος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,λεσβου
παπαδελλης γεωργιου φραγκλινος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,λεσβου
παπαδημας ηλια λαμπρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
παπαδημας ηλια λαμπρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
παπαδημας ηλια λαμπρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
παπαδημας ηλια λαμπρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
παπαδηματος παναγιωτη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,αχαιας
παπαδημητριου αθανασιου χαραλαμπος (μπαμπης),2019-07-07,2023-04-22,νεα δημοκρατια,β3' νοτιου τομεα αθηνων
παπαδημητριου αλεξανδρου γεωργιος,2007-09-16,2009-02-16,πανελληνιο σοσιαλιστικο κινημα,επικρατειας
παπαδημητριου δημητριου γεωργιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αιτωλοακαρνανιας
παπαδημητριου δημητριου ελισαβετ (ελσα),1993-10-10,1996-08-24,νεα δημοκρατια,αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),1996-09-22,2000-03-14,νεα δημοκρατια,αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),2000-04-09,2004-02-11,νεα δημοκρατια,αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),2004-03-07,2007-08-18,νεα δημοκρατια,αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),2007-09-16,2009-09-07,νεα δημοκρατια,αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),2011-06-29,2012-04-11,ανεξαρτητοι (εκτος κομματος),αργολιδος
παπαδημητριου δημητριου ελισαβετ (ελσα),2009-10-04,2011-06-28,νεα δημοκρατια,αργολιδος
αραπογλου ανεστη χρυση,2000-04-09,2000-10-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
αραπογλου ανεστη χρυση,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
αραπογλου ανεστη χρυση,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
αραπογλου ανεστη χρυση,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
παπαδημητριου θεοδωρου γεσθημανη (μανια),2014-05-05,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,επικρατειας
παπαδημουλης χριστοδουλου δημητριος,2009-10-04,2012-04-11,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παπαδημουλης χριστοδουλου δημητριος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παπαδημουλης χριστοδουλου δημητριος,2012-06-17,2014-05-02,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων
παπαδογγονας διονυσιου αλεξανδρος,1989-01-01,1989-06-02,νεα δημοκρατια,α' αθηνων
παπαδογγονας διονυσιου αλεξανδρος,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων
παπαδογγονας διονυσιου αλεξανδρος,1990-04-08,1993-09-11,νεα δημοκρατια,α' αθηνων
παπαδογγονας διονυσιου αλεξανδρος,1993-10-10,1996-08-24,νεα δημοκρατια,α' αθηνων
